model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     max_rootfinding_iterations = 100
model   INFO     active_ratio = 0.4444444444444444
model   INFO     species_definitions =
model   INFO             CO2_g: {'pressure': 0.01}
model   INFO             CO_g: {'pressure': 1.0000000000000001e-05}
model   INFO             O2_g: {'pressure': 0.4}
model   INFO             *_s: {'site_name': 'top', 'type': 'site', 'total': 1.0}
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rate_algo = CT
model   INFO     temperature = 500
model   INFO     rootfinding = MDNewton
model   INFO     tolerance = 1e-15
model   INFO     unitcell_area = 9e-20
model   INFO     corrector = ThermodynamicCorrector
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.00

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          10.60%            1.059918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          10.80%            1.079918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          11.00%            1.099918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          11.20%            1.119918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          11.40%            1.139918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          11.60%            1.159918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          11.80%            1.179918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          12.00%            1.199918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          12.20%            1.219918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          12.40%            1.239918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          12.60%            1.259918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          12.80%            1.279918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          13.00%            1.299918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          13.20%            1.319918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          13.40%            1.339918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          13.60%            1.359918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          13.80%            1.379918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          14.00%            1.399918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          14.20%            1.419918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          14.40%            1.439918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          14.60%            1.459918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          14.80%            1.479918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          15.00%            1.499918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          15.20%            1.519918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          15.40%            1.539918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          15.60%            1.559918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          15.80%            1.579918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          16.00%            1.599918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          16.20%            1.619918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          16.40%            1.639918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          16.60%            1.659918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          16.80%            1.679918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          17.00%            1.699918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          17.20%            1.719918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          17.40%            1.739918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          17.60%            1.759918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          17.80%            1.779918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          18.00%            1.799918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          18.20%            1.819918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          18.40%            1.839918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          18.60%            1.859918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          18.80%            1.879918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          19.00%            1.899918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          19.20%            1.919918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          19.40%            1.939918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          19.60%            1.959918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          19.80%            1.979918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          20.00%            1.999918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          20.20%            2.019918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          20.40%            2.039918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          20.60%            2.059918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          20.80%            2.079918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          21.00%            2.099918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          21.20%            2.119918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          21.40%            2.139918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          21.60%            2.159918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          21.80%            2.179918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          22.00%            2.199918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          22.20%            2.219918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          22.40%            2.239918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          22.60%            2.259918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          22.80%            2.279918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          23.00%            2.299918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          23.20%            2.319918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          23.40%            2.339918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          23.60%            2.359918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          23.80%            2.379918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          24.00%            2.399918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          24.20%            2.419918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          24.40%            2.439918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          24.60%            2.459918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          24.80%            2.479918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          25.00%            2.499918      5.01217760e-11      9.99932175e-01
