model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rate_algo = TST
model   INFO     active_ratio = 0.444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rootfinding = MDNewton
model   INFO     species_definitions =
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 1.0000000000000001e-05}
model   INFO             O2_g: {'pressure': 5.0}
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO     max_rootfinding_iterations = 100
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     corrector = ThermodynamicCorrector
model   INFO     tolerance = 1e-15
model   INFO     unitcell_area = 9e-20
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.000100

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          10.60%            1.060000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          10.80%            1.080000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          11.00%            1.100000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          11.20%            1.120000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          11.40%            1.140000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          11.60%            1.160000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          11.80%            1.180000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          12.00%            1.200000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          12.20%            1.220000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          12.40%            1.240000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          12.60%            1.260000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          12.80%            1.280000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          13.00%            1.300000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          13.20%            1.320000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          13.40%            1.340000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          13.60%            1.360000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          13.80%            1.380000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          14.00%            1.400000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          14.20%            1.420000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          14.40%            1.440000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          14.60%            1.460000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          14.80%            1.480000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          15.00%            1.500000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          15.20%            1.520000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          15.40%            1.540000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          15.60%            1.560000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          15.80%            1.580000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          16.00%            1.600000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          16.20%            1.620000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          16.40%            1.640000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          16.60%            1.660000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          16.80%            1.680000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          17.00%            1.700000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          17.20%            1.720000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          17.40%            1.740000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          17.60%            1.760000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          17.80%            1.780000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          18.00%            1.800000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          18.20%            1.820000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          18.40%            1.840000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          18.60%            1.860000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          18.80%            1.880000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          19.00%            1.900000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          19.20%            1.920000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          19.40%            1.940000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          19.60%            1.960000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          19.80%            1.980000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          20.00%            2.000000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          20.20%            2.020000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          20.40%            2.040000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          20.60%            2.060000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          20.80%            2.080000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          21.00%            2.100000      9.96531055e-01      2.94061448e-06
