model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rate_algo = CT
model   INFO     active_ratio = 0.444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rootfinding = MDNewton
model   INFO     species_definitions =
model   INFO             *_t: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 0.1}
model   INFO             O2_g: {'pressure': 9.9999999999999995e-08}
model   INFO             CO2_g: {'pressure': 1.32e-07}
model   INFO     max_rootfinding_iterations = 100
model   INFO     rxn_expressions =
model   INFO             CO_g + *_t -> CO_t
model   INFO             O2_g + 2*_t -> 2O_t
model   INFO             CO_t + O_t <-> CO-O_2t -> CO2_g + 2*_t
model   INFO     corrector = ThermodynamicCorrector
model   INFO     tolerance = 1e-50
model   INFO     unitcell_area = 9e-20
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.000100

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_t                 O_t
model.solvers.SteadyStateSolver   INFO          10.60%            1.060000      1.00000000e+00      8.66271062e-33
model.solvers.SteadyStateSolver   INFO          10.80%            1.080000      1.00000000e+00      8.63749659e-33
model.solvers.SteadyStateSolver   INFO          11.00%            1.100000      1.00000000e+00      8.61228255e-33
model.solvers.SteadyStateSolver   INFO          11.20%            1.120000      1.00000000e+00      8.58706852e-33
model.solvers.SteadyStateSolver   INFO          11.40%            1.140000      1.00000000e+00      8.56185448e-33
model.solvers.SteadyStateSolver   INFO          11.60%            1.160000      1.00000000e+00      8.53664044e-33
model.solvers.SteadyStateSolver   INFO          11.80%            1.180000      1.00000000e+00      8.51142641e-33
model.solvers.SteadyStateSolver   INFO          12.00%            1.200000      1.00000000e+00      8.48621237e-33
model.solvers.SteadyStateSolver   INFO          12.20%            1.220000      1.00000000e+00      8.46099833e-33
model.solvers.SteadyStateSolver   INFO          12.40%            1.240000      1.00000000e+00      8.43578430e-33
model.solvers.SteadyStateSolver   INFO          12.60%            1.260000      1.00000000e+00      8.41057026e-33
model.solvers.SteadyStateSolver   INFO          12.80%            1.280000      1.00000000e+00      8.38535622e-33
model.solvers.SteadyStateSolver   INFO          13.00%            1.300000      1.00000000e+00      8.36014219e-33
model.solvers.SteadyStateSolver   INFO          13.20%            1.320000      1.00000000e+00      8.33492815e-33
model.solvers.SteadyStateSolver   INFO          13.40%            1.340000      1.00000000e+00      8.30971411e-33
model.solvers.SteadyStateSolver   INFO          13.60%            1.360000      1.00000000e+00      8.28450008e-33
model.solvers.SteadyStateSolver   INFO          13.80%            1.380000      1.00000000e+00      8.25928604e-33
model.solvers.SteadyStateSolver   INFO          14.00%            1.400000      1.00000000e+00      8.23407200e-33
model.solvers.SteadyStateSolver   INFO          14.20%            1.420000      1.00000000e+00      8.20885797e-33
model.solvers.SteadyStateSolver   INFO          14.40%            1.440000      1.00000000e+00      8.18364393e-33
model.solvers.SteadyStateSolver   INFO          14.60%            1.460000      1.00000000e+00      8.15842989e-33
model.solvers.SteadyStateSolver   INFO          14.80%            1.480000      1.00000000e+00      8.13321586e-33
model.solvers.SteadyStateSolver   INFO          15.00%            1.500000      1.00000000e+00      8.10800182e-33
model.solvers.SteadyStateSolver   INFO          15.20%            1.520000      1.00000000e+00      8.08278778e-33
model.solvers.SteadyStateSolver   INFO          15.40%            1.540000      1.00000000e+00      8.05757375e-33
model.solvers.SteadyStateSolver   INFO          15.60%            1.560000      1.00000000e+00      8.03235971e-33
model.solvers.SteadyStateSolver   INFO          15.80%            1.580000      1.00000000e+00      8.00714567e-33
model.solvers.SteadyStateSolver   INFO          16.00%            1.600000      1.00000000e+00      7.98193164e-33
model.solvers.SteadyStateSolver   INFO          16.20%            1.620000      1.00000000e+00      7.95671760e-33
model.solvers.SteadyStateSolver   INFO          16.40%            1.640000      1.00000000e+00      7.93150356e-33
model.solvers.SteadyStateSolver   INFO          16.60%            1.660000      1.00000000e+00      7.90628953e-33
model.solvers.SteadyStateSolver   INFO          16.80%            1.680000      1.00000000e+00      7.88107549e-33
model.solvers.SteadyStateSolver   INFO          17.00%            1.700000      1.00000000e+00      7.85586145e-33
model.solvers.SteadyStateSolver   INFO          17.20%            1.720000      1.00000000e+00      7.83064742e-33
model.solvers.SteadyStateSolver   INFO          17.40%            1.740000      1.00000000e+00      7.80543338e-33
model.solvers.SteadyStateSolver   INFO          17.60%            1.760000      1.00000000e+00      7.78021934e-33
model.solvers.SteadyStateSolver   INFO          17.80%            1.780000      1.00000000e+00      7.75500531e-33
model.solvers.SteadyStateSolver   INFO          18.00%            1.800000      1.00000000e+00      7.72979127e-33
model.solvers.SteadyStateSolver   INFO          18.20%            1.820000      1.00000000e+00      7.70457723e-33
model.solvers.SteadyStateSolver   INFO          18.40%            1.840000      1.00000000e+00      7.67936320e-33
model.solvers.SteadyStateSolver   INFO          18.60%            1.860000      1.00000000e+00      7.65414916e-33
model.solvers.SteadyStateSolver   INFO          18.80%            1.880000      1.00000000e+00      7.62893513e-33
model.solvers.SteadyStateSolver   INFO          19.00%            1.900000      1.00000000e+00      7.60372109e-33
model.solvers.SteadyStateSolver   INFO          19.20%            1.920000      1.00000000e+00      7.57850705e-33
model.solvers.SteadyStateSolver   INFO          19.40%            1.940000      1.00000000e+00      7.55329302e-33
model.solvers.SteadyStateSolver   INFO          19.60%            1.960000      1.00000000e+00      7.52807898e-33
model.solvers.SteadyStateSolver   INFO          19.80%            1.980000      1.00000000e+00      7.50286494e-33
model.solvers.SteadyStateSolver   INFO          20.00%            2.000000      1.00000000e+00      7.47765091e-33
model.solvers.SteadyStateSolver   INFO          20.20%            2.020000      1.00000000e+00      7.45243687e-33
