model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     tolerance = 1e-50
model   INFO     rootfinding = MDNewton
model   INFO     max_rootfinding_iterations = 100
model   INFO     rate_algo = TST
model   INFO     species_definitions =
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             O2_g: {'pressure': 5}
model   INFO     corrector = ThermodynamicCorrector
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s <-> O-O_2s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     unitcell_area = 9e-20
model   INFO     active_ratio = 0.4444444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 0.00  step = 0.000000

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO           2.12%            0.000011      6.15227189e-01      4.84000803e-02
model.solvers.SteadyStateSolver   INFO           2.16%            0.000011      6.21419421e-01      4.83681523e-02
model.solvers.SteadyStateSolver   INFO           2.20%            0.000011      6.27488024e-01      4.83220405e-02
model.solvers.SteadyStateSolver   INFO           2.24%            0.000011      6.33435859e-01      4.82623641e-02
model.solvers.SteadyStateSolver   INFO           2.28%            0.000011      6.39265717e-01      4.81897178e-02
model.solvers.SteadyStateSolver   INFO           2.32%            0.000012      6.44980322e-01      4.81046742e-02
model.solvers.SteadyStateSolver   INFO           2.36%            0.000012      6.50582327e-01      4.80077843e-02
model.solvers.SteadyStateSolver   INFO           2.40%            0.000012      6.56074322e-01      4.78995788e-02
model.solvers.SteadyStateSolver   INFO           2.44%            0.000012      6.61458831e-01      4.77805683e-02
model.solvers.SteadyStateSolver   INFO           2.48%            0.000012      6.66738317e-01      4.76512471e-02
model.solvers.SteadyStateSolver   INFO           2.52%            0.000013      6.71915178e-01      4.75120906e-02
model.solvers.SteadyStateSolver   INFO           2.56%            0.000013      6.76991756e-01      4.73635561e-02
model.solvers.SteadyStateSolver   INFO           2.60%            0.000013      6.81970335e-01      4.72060837e-02
model.solvers.SteadyStateSolver   INFO           2.64%            0.000013      6.86853138e-01      4.70400972e-02
model.solvers.SteadyStateSolver   INFO           2.68%            0.000013      6.91642339e-01      4.68660044e-02
model.solvers.SteadyStateSolver   INFO           2.72%            0.000014      6.96340053e-01      4.66841993e-02
model.solvers.SteadyStateSolver   INFO           2.76%            0.000014      7.00948346e-01      4.64950618e-02
model.solvers.SteadyStateSolver   INFO           2.80%            0.000014      7.05469231e-01      4.62989569e-02
model.solvers.SteadyStateSolver   INFO           2.84%            0.000014      7.09904672e-01      4.60962360e-02
model.solvers.SteadyStateSolver   INFO           2.88%            0.000014      7.14256584e-01      4.58872375e-02
model.solvers.SteadyStateSolver   INFO           2.92%            0.000015      7.18526835e-01      4.56722867e-02
model.solvers.SteadyStateSolver   INFO           2.96%            0.000015      7.22717246e-01      4.54516972e-02
model.solvers.SteadyStateSolver   INFO           3.00%            0.000015      7.26829595e-01      4.52257725e-02
model.solvers.SteadyStateSolver   INFO           3.04%            0.000015      7.30865615e-01      4.49948035e-02
model.solvers.SteadyStateSolver   INFO           3.08%            0.000015      7.34826997e-01      4.47590707e-02
model.solvers.SteadyStateSolver   INFO           3.12%            0.000016      7.38715389e-01      4.45188436e-02
model.solvers.SteadyStateSolver   INFO           3.16%            0.000016      7.42532400e-01      4.42743819e-02
model.solvers.SteadyStateSolver   INFO           3.20%            0.000016      7.46279600e-01      4.40259355e-02
model.solvers.SteadyStateSolver   INFO           3.24%            0.000016      7.49958518e-01      4.37737449e-02
model.solvers.SteadyStateSolver   INFO           3.28%            0.000016      7.53570648e-01      4.35180419e-02
model.solvers.SteadyStateSolver   INFO           3.32%            0.000017      7.57117446e-01      4.32590495e-02
model.solvers.SteadyStateSolver   INFO           3.36%            0.000017      7.60600336e-01      4.29969824e-02
model.solvers.SteadyStateSolver   INFO           3.40%            0.000017      7.64020702e-01      4.27320474e-02
model.solvers.SteadyStateSolver   INFO           3.44%            0.000017      7.67379898e-01      4.24644437e-02
model.solvers.SteadyStateSolver   INFO           3.48%            0.000017      7.70679244e-01      4.21943632e-02
model.solvers.SteadyStateSolver   INFO           3.52%            0.000018      7.73920028e-01      4.19219904e-02
model.solvers.SteadyStateSolver   INFO           3.56%            0.000018      7.77103508e-01      4.16475010e-02
model.solvers.SteadyStateSolver   INFO           3.60%            0.000018      7.80230908e-01      4.13710652e-02
model.solvers.SteadyStateSolver   INFO           3.64%            0.000018      7.83303426e-01      4.10928467e-02
model.solvers.SteadyStateSolver   INFO           3.68%            0.000018      7.86322230e-01      4.08130034e-02
model.solvers.SteadyStateSolver   INFO           3.72%            0.000019      7.89288459e-01      4.05316869e-02
model.solvers.SteadyStateSolver   INFO           3.76%            0.000019      7.92203226e-01      4.02490434e-02
model.solvers.SteadyStateSolver   INFO           3.80%            0.000019      7.95067616e-01      3.99652133e-02
model.solvers.SteadyStateSolver   INFO           3.84%            0.000019      7.97882690e-01      3.96803302e-02
model.solvers.SteadyStateSolver   INFO           3.88%            0.000019      8.00649481e-01      3.93945233e-02
model.solvers.SteadyStateSolver   INFO           3.92%            0.000020      8.03368998e-01      3.91079171e-02
model.solvers.SteadyStateSolver   INFO           3.96%            0.000020      8.06042228e-01      3.88206310e-02
model.solvers.SteadyStateSolver   INFO           4.00%            0.000020      8.08670132e-01      3.85327798e-02
model.solvers.SteadyStateSolver   INFO           4.04%            0.000020      8.11253649e-01      3.82444738e-02
model.solvers.SteadyStateSolver   INFO           4.08%            0.000020      8.13793697e-01      3.79558191e-02
model.solvers.SteadyStateSolver   INFO           4.12%            0.000021      8.16291170e-01      3.76669168e-02
model.solvers.SteadyStateSolver   INFO           4.16%            0.000021      8.18746943e-01      3.73778643e-02
model.solvers.SteadyStateSolver   INFO           4.20%            0.000021      8.21161868e-01      3.70887553e-02
