model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     tolerance = 1e-30
model   INFO     plotter = EnergyProfilePlotter
model   INFO     corrector = ThermodynamicCorrector
model   INFO     unitcell_area = 9e-20
model   INFO     species_definitions =
model   INFO             O2_g: {'pressure': 0.20000000000000001}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 0.1}
model   INFO             CO2_g: {'pressure': 0.01}
model   INFO     rate_algo = CT
model   INFO     rootfinding = MDNewton
model   INFO     max_rootfinding_iterations = 100
model   INFO     temperature = 500
model   INFO     active_ratio = 0.4444444444444444
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.00

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          10.60%            1.059801      1.00000000e+00      1.78287236e-26
model.solvers.SteadyStateSolver   INFO          10.80%            1.079801      1.00000000e+00      1.79953340e-26
model.solvers.SteadyStateSolver   INFO          11.00%            1.099801      1.00000000e+00      1.79953340e-26
model.solvers.SteadyStateSolver   INFO          11.20%            1.119801      1.00000000e+00      1.79953340e-26
model.solvers.SteadyStateSolver   INFO          11.40%            1.139801      1.00000000e+00      1.79953340e-26
model.solvers.SteadyStateSolver   INFO          11.60%            1.159801      1.00000000e+00      1.79953340e-26
model.solvers.SteadyStateSolver   INFO          11.80%            1.179801      1.00000000e+00      1.79953339e-26
model.solvers.SteadyStateSolver   INFO          12.00%            1.199801      1.00000000e+00      1.79953339e-26
model.solvers.SteadyStateSolver   INFO          12.20%            1.219801      1.00000000e+00      1.79953339e-26
model.solvers.SteadyStateSolver   INFO          12.40%            1.239801      1.00000000e+00      1.79953339e-26
model.solvers.SteadyStateSolver   INFO          12.60%            1.259801      1.00000000e+00      1.79953339e-26
model.solvers.SteadyStateSolver   INFO          12.80%            1.279801      1.00000000e+00      1.79953339e-26
model.solvers.SteadyStateSolver   INFO          13.00%            1.299801      1.00000000e+00      1.79953338e-26
model.solvers.SteadyStateSolver   INFO          13.20%            1.319801      1.00000000e+00      1.79953338e-26
model.solvers.SteadyStateSolver   INFO          13.40%            1.339801      1.00000000e+00      1.79953338e-26
model.solvers.SteadyStateSolver   INFO          13.60%            1.359801      1.00000000e+00      1.79953338e-26
model.solvers.SteadyStateSolver   INFO          13.80%            1.379801      1.00000000e+00      1.79953338e-26
model.solvers.SteadyStateSolver   INFO          14.00%            1.399801      1.00000000e+00      1.79953337e-26
model.solvers.SteadyStateSolver   INFO          14.20%            1.419801      1.00000000e+00      1.79953337e-26
model.solvers.SteadyStateSolver   INFO          14.40%            1.439801      1.00000000e+00      1.79953337e-26
model.solvers.SteadyStateSolver   INFO          14.60%            1.459801      1.00000000e+00      1.79953337e-26
model.solvers.SteadyStateSolver   INFO          14.80%            1.479801      1.00000000e+00      1.79953337e-26
model.solvers.SteadyStateSolver   INFO          15.00%            1.499801      1.00000000e+00      1.79953336e-26
model.solvers.SteadyStateSolver   INFO          15.20%            1.519801      1.00000000e+00      1.79953336e-26
model.solvers.SteadyStateSolver   INFO          15.40%            1.539801      1.00000000e+00      1.79953336e-26
model.solvers.SteadyStateSolver   INFO          15.60%            1.559801      1.00000000e+00      1.79953336e-26
model.solvers.SteadyStateSolver   INFO          15.80%            1.579801      1.00000000e+00      1.79953336e-26
model.solvers.SteadyStateSolver   INFO          16.00%            1.599801      1.00000000e+00      1.79953336e-26
model.solvers.SteadyStateSolver   INFO          16.20%            1.619801      1.00000000e+00      1.79953335e-26
model.solvers.SteadyStateSolver   INFO          16.40%            1.639801      1.00000000e+00      1.79953335e-26
model.solvers.SteadyStateSolver   INFO          16.60%            1.659801      1.00000000e+00      1.79953335e-26
model.solvers.SteadyStateSolver   INFO          16.80%            1.679801      1.00000000e+00      1.79953335e-26
model.solvers.SteadyStateSolver   INFO          17.00%            1.699801      1.00000000e+00      1.79953335e-26
model.solvers.SteadyStateSolver   INFO          17.20%            1.719801      1.00000000e+00      1.79953334e-26
model.solvers.SteadyStateSolver   INFO          17.40%            1.739801      1.00000000e+00      1.79953334e-26
