model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rate_algo = CT
model   INFO     active_ratio = 0.444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rootfinding = MDNewton
model   INFO     species_definitions =
model   INFO             *_t: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 1.0000000000000001e-05}
model   INFO             O2_g: {'pressure': 0.5}
model   INFO             CO2_g: {'pressure': 1.32e-07}
model   INFO     max_rootfinding_iterations = 100
model   INFO     rxn_expressions =
model   INFO             CO_g + *_t -> CO_t
model   INFO             O2_g + 2*_t -> 2O_t
model   INFO             CO_t + O_t <-> CO-O_2t -> CO2_g + 2*_t
model   INFO     corrector = ThermodynamicCorrector
model   INFO     tolerance = 1e-50
model   INFO     unitcell_area = 9e-20
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.000100

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_t                 O_t
model.solvers.SteadyStateSolver   INFO          24.80%            2.479916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          25.00%            2.499916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          25.20%            2.519916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          25.40%            2.539916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          25.60%            2.559916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          25.80%            2.579916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          26.00%            2.599916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          26.20%            2.619916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          26.40%            2.639916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          26.60%            2.659916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          26.80%            2.679916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          27.00%            2.699916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          27.20%            2.719916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          27.40%            2.739916      4.00968720e-11      9.99945740e-01
