model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     unitcell_area = 9e-20
model   INFO     tolerance = 1e-50
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s <-> O-O_2s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     temperature = 500
model   INFO     corrector = ThermodynamicCorrector
model   INFO     plotter = EnergyProfilePlotter
model   INFO     max_rootfinding_iterations = 100
model   INFO     rate_algo = TST
model   INFO     species_definitions =
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO             O2_g: {'pressure': 5}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO     rootfinding = MDNewton
model   INFO     active_ratio = 0.4444444444444444
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 0.00  step = 0.000000

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          10.60%            0.000053      9.69991339e-01      7.62513228e-03
model.solvers.SteadyStateSolver   INFO          10.80%            0.000054      9.71407724e-01      7.22414794e-03
model.solvers.SteadyStateSolver   INFO          11.00%            0.000055      9.72747231e-01      6.84348846e-03
model.solvers.SteadyStateSolver   INFO          11.20%            0.000056      9.74014286e-01      6.48220706e-03
model.solvers.SteadyStateSolver   INFO          11.40%            0.000057      9.75213021e-01      6.13939130e-03
model.solvers.SteadyStateSolver   INFO          11.60%            0.000058      9.76347303e-01      5.81416358e-03
model.solvers.SteadyStateSolver   INFO          11.80%            0.000059      9.77420750e-01      5.50568053e-03
model.solvers.SteadyStateSolver   INFO          12.00%            0.000060      9.78436757e-01      5.21313254e-03
model.solvers.SteadyStateSolver   INFO          12.20%            0.000061      9.79398509e-01      4.93574359e-03
model.solvers.SteadyStateSolver   INFO          12.40%            0.000062      9.80308993e-01      4.67276999e-03
model.solvers.SteadyStateSolver   INFO          12.60%            0.000063      9.81171016e-01      4.42350005e-03
model.solvers.SteadyStateSolver   INFO          12.80%            0.000064      9.81987218e-01      4.18725310e-03
model.solvers.SteadyStateSolver   INFO          13.00%            0.000065      9.82760085e-01      3.96337864e-03
model.solvers.SteadyStateSolver   INFO          13.20%            0.000066      9.83491961e-01      3.75125556e-03
model.solvers.SteadyStateSolver   INFO          13.40%            0.000067      9.84185051e-01      3.55029090e-03
model.solvers.SteadyStateSolver   INFO          13.60%            0.000068      9.84841434e-01      3.35991900e-03
model.solvers.SteadyStateSolver   INFO          13.80%            0.000069      9.85463074e-01      3.17960073e-03
model.solvers.SteadyStateSolver   INFO          14.00%            0.000070      9.86051823e-01      3.00882229e-03
model.solvers.SteadyStateSolver   INFO          14.20%            0.000071      9.86609432e-01      2.84709427e-03
model.solvers.SteadyStateSolver   INFO          14.40%            0.000072      9.87137553e-01      2.69395077e-03
model.solvers.SteadyStateSolver   INFO          14.60%            0.000073      9.87637748e-01      2.54894843e-03
model.solvers.SteadyStateSolver   INFO          14.80%            0.000074      9.88111495e-01      2.41166546e-03
model.solvers.SteadyStateSolver   INFO          15.00%            0.000075      9.88560191e-01      2.28170075e-03
